result
"AnalyzerOutput(output=others, probas={others: 0.798, joy: 0.192, surprise: 0.003, disgust: 0.002, fear: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.555, joy: 0.434, surprise: 0.004, fear: 0.002, disgust: 0.002, sadness: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.973, joy: 0.010, fear: 0.007, disgust: 0.003, sadness: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.782, joy: 0.206, sadness: 0.004, fear: 0.003, surprise: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.972, joy: 0.012, fear: 0.005, sadness: 0.004, disgust: 0.003, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.871, joy: 0.116, sadness: 0.005, surprise: 0.003, disgust: 0.002, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.962, surprise: 0.014, joy: 0.013, sadness: 0.004, disgust: 0.003, fear: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.964, joy: 0.023, sadness: 0.004, disgust: 0.003, fear: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=fear, probas={fear: 0.485, others: 0.437, sadness: 0.038, joy: 0.025, surprise: 0.009, disgust: 0.004, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.833, joy: 0.147, sadness: 0.010, surprise: 0.004, disgust: 0.002, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.958, joy: 0.018, sadness: 0.011, fear: 0.005, surprise: 0.004, disgust: 0.003, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.708, sadness: 0.225, joy: 0.030, fear: 0.022, disgust: 0.006, surprise: 0.006, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.973, joy: 0.015, sadness: 0.003, surprise: 0.003, disgust: 0.003, fear: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.937, joy: 0.052, sadness: 0.003, fear: 0.003, surprise: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.965, joy: 0.025, surprise: 0.003, fear: 0.003, disgust: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.659, joy: 0.328, sadness: 0.004, surprise: 0.004, fear: 0.003, disgust: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.973, joy: 0.011, sadness: 0.005, disgust: 0.004, fear: 0.004, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.976, joy: 0.011, surprise: 0.004, disgust: 0.003, fear: 0.002, sadness: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.942, joy: 0.047, surprise: 0.005, fear: 0.002, disgust: 0.001, anger: 0.001, sadness: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.963, joy: 0.025, sadness: 0.004, surprise: 0.004, disgust: 0.002, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=sadness, probas={sadness: 0.648, others: 0.301, joy: 0.019, fear: 0.016, surprise: 0.009, disgust: 0.005, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.859, joy: 0.125, sadness: 0.007, surprise: 0.003, fear: 0.003, disgust: 0.003, anger: 0.001})"
"AnalyzerOutput(output=sadness, probas={sadness: 0.694, others: 0.272, joy: 0.014, disgust: 0.007, fear: 0.006, surprise: 0.004, anger: 0.003})"
"AnalyzerOutput(output=others, probas={others: 0.945, joy: 0.046, surprise: 0.002, fear: 0.002, disgust: 0.002, anger: 0.001, sadness: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.730, fear: 0.070, sadness: 0.056, joy: 0.055, surprise: 0.032, disgust: 0.030, anger: 0.026})"
"AnalyzerOutput(output=others, probas={others: 0.637, joy: 0.348, surprise: 0.005, sadness: 0.004, fear: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.970, joy: 0.019, surprise: 0.003, fear: 0.003, disgust: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.551, others: 0.438, surprise: 0.004, disgust: 0.002, anger: 0.002, fear: 0.002, sadness: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.755, joy: 0.230, surprise: 0.008, fear: 0.003, anger: 0.002, sadness: 0.002, disgust: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.912, joy: 0.071, surprise: 0.008, sadness: 0.004, fear: 0.002, disgust: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.971, disgust: 0.009, joy: 0.008, anger: 0.004, sadness: 0.003, fear: 0.003, surprise: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.712, joy: 0.277, surprise: 0.004, fear: 0.002, disgust: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.520, joy: 0.468, surprise: 0.003, sadness: 0.003, fear: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=sadness, probas={sadness: 0.981, others: 0.008, fear: 0.004, joy: 0.003, disgust: 0.002, surprise: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.973, joy: 0.014, disgust: 0.004, sadness: 0.004, surprise: 0.002, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.979, joy: 0.009, disgust: 0.003, fear: 0.003, surprise: 0.003, sadness: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.974, joy: 0.014, sadness: 0.003, fear: 0.003, disgust: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.566, joy: 0.422, surprise: 0.004, fear: 0.002, sadness: 0.002, disgust: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.810, joy: 0.179, fear: 0.003, surprise: 0.003, disgust: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.958, joy: 0.032, disgust: 0.003, fear: 0.003, sadness: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.944, joy: 0.046, surprise: 0.004, sadness: 0.002, fear: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.966, joy: 0.023, surprise: 0.003, sadness: 0.003, fear: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.939, joy: 0.045, sadness: 0.005, fear: 0.004, surprise: 0.004, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.966, others: 0.026, surprise: 0.002, anger: 0.002, sadness: 0.002, fear: 0.001, disgust: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.951, joy: 0.030, sadness: 0.006, surprise: 0.004, disgust: 0.004, fear: 0.003, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.975, joy: 0.012, fear: 0.004, disgust: 0.003, surprise: 0.003, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=sadness, probas={sadness: 0.933, others: 0.045, joy: 0.013, disgust: 0.003, fear: 0.002, surprise: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.972, joy: 0.014, surprise: 0.004, sadness: 0.004, disgust: 0.003, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.933, joy: 0.030, sadness: 0.023, fear: 0.005, surprise: 0.003, disgust: 0.003, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.689, others: 0.301, surprise: 0.004, fear: 0.002, sadness: 0.002, anger: 0.001, disgust: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.975, joy: 0.013, fear: 0.003, disgust: 0.003, sadness: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.929, joy: 0.055, surprise: 0.005, sadness: 0.004, fear: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.966, joy: 0.022, sadness: 0.004, fear: 0.003, disgust: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.848, joy: 0.142, surprise: 0.003, disgust: 0.002, fear: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.957, joy: 0.032, surprise: 0.005, disgust: 0.002, fear: 0.002, sadness: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.953, joy: 0.031, sadness: 0.005, fear: 0.004, surprise: 0.003, disgust: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.850, joy: 0.141, disgust: 0.002, surprise: 0.002, fear: 0.002, sadness: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.887, joy: 0.101, fear: 0.004, surprise: 0.003, sadness: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.945, joy: 0.025, sadness: 0.017, fear: 0.004, surprise: 0.004, disgust: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.962, joy: 0.025, sadness: 0.004, surprise: 0.003, fear: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.975, joy: 0.013, disgust: 0.003, sadness: 0.003, fear: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.765, joy: 0.202, sadness: 0.018, fear: 0.007, surprise: 0.006, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.822, joy: 0.164, sadness: 0.007, surprise: 0.002, disgust: 0.002, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.950, joy: 0.037, surprise: 0.006, fear: 0.002, sadness: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.976, disgust: 0.010, joy: 0.006, anger: 0.003, surprise: 0.002, fear: 0.002, sadness: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.730, fear: 0.070, sadness: 0.056, joy: 0.055, surprise: 0.032, disgust: 0.030, anger: 0.026})"
"AnalyzerOutput(output=others, probas={others: 0.968, joy: 0.021, disgust: 0.003, fear: 0.003, sadness: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.968, joy: 0.019, sadness: 0.003, surprise: 0.003, disgust: 0.003, fear: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.920, sadness: 0.040, joy: 0.025, fear: 0.007, disgust: 0.004, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.939, joy: 0.051, surprise: 0.003, sadness: 0.003, disgust: 0.002, fear: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.971, joy: 0.011, sadness: 0.008, disgust: 0.004, fear: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.725, disgust: 0.234, sadness: 0.021, joy: 0.008, fear: 0.005, surprise: 0.004, anger: 0.003})"
"AnalyzerOutput(output=others, probas={others: 0.891, joy: 0.065, sadness: 0.032, disgust: 0.004, fear: 0.003, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.960, joy: 0.031, disgust: 0.003, surprise: 0.002, anger: 0.002, fear: 0.001, sadness: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.971, joy: 0.018, fear: 0.004, disgust: 0.003, surprise: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.679, others: 0.306, sadness: 0.007, surprise: 0.003, fear: 0.003, disgust: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.967, joy: 0.024, disgust: 0.002, surprise: 0.002, sadness: 0.002, fear: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.966, joy: 0.015, sadness: 0.009, disgust: 0.003, fear: 0.003, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.946, joy: 0.025, sadness: 0.014, fear: 0.008, surprise: 0.003, disgust: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.940, joy: 0.032, sadness: 0.017, fear: 0.004, disgust: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.972, joy: 0.014, sadness: 0.004, fear: 0.004, disgust: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.612, sadness: 0.312, fear: 0.042, joy: 0.017, disgust: 0.011, surprise: 0.003, anger: 0.003})"
"AnalyzerOutput(output=others, probas={others: 0.937, joy: 0.050, sadness: 0.003, surprise: 0.003, anger: 0.002, disgust: 0.002, fear: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.972, joy: 0.012, sadness: 0.005, fear: 0.004, disgust: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.884, joy: 0.099, sadness: 0.008, fear: 0.004, surprise: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.923, joy: 0.061, sadness: 0.006, fear: 0.003, disgust: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.975, joy: 0.014, disgust: 0.003, fear: 0.002, sadness: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.978, joy: 0.008, disgust: 0.004, sadness: 0.003, surprise: 0.003, fear: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.945, sadness: 0.022, joy: 0.018, fear: 0.006, disgust: 0.004, surprise: 0.004, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.975, joy: 0.010, disgust: 0.008, surprise: 0.002, fear: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.972, joy: 0.009, sadness: 0.006, disgust: 0.006, surprise: 0.003, fear: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.974, joy: 0.014, fear: 0.003, surprise: 0.003, disgust: 0.003, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.887, joy: 0.082, sadness: 0.020, surprise: 0.005, disgust: 0.003, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.966, joy: 0.024, sadness: 0.003, disgust: 0.003, surprise: 0.002, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.973, joy: 0.014, disgust: 0.004, fear: 0.003, sadness: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.555, sadness: 0.391, joy: 0.019, disgust: 0.014, fear: 0.012, surprise: 0.006, anger: 0.004})"
"AnalyzerOutput(output=others, probas={others: 0.938, joy: 0.044, sadness: 0.008, surprise: 0.004, fear: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.876, joy: 0.092, sadness: 0.021, fear: 0.004, disgust: 0.003, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.971, joy: 0.020, surprise: 0.002, disgust: 0.002, fear: 0.002, anger: 0.001, sadness: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.934, joy: 0.053, surprise: 0.004, sadness: 0.003, fear: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.969, joy: 0.019, disgust: 0.003, fear: 0.003, sadness: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=sadness, probas={sadness: 0.643, others: 0.312, joy: 0.026, fear: 0.008, disgust: 0.006, surprise: 0.003, anger: 0.003})"
"AnalyzerOutput(output=others, probas={others: 0.949, joy: 0.039, sadness: 0.004, surprise: 0.003, disgust: 0.002, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.773, joy: 0.215, sadness: 0.004, fear: 0.004, surprise: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.971, joy: 0.018, fear: 0.003, surprise: 0.003, disgust: 0.002, sadness: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.926, joy: 0.032, sadness: 0.020, fear: 0.014, surprise: 0.005, disgust: 0.003, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.569, others: 0.420, surprise: 0.004, anger: 0.002, disgust: 0.002, sadness: 0.002, fear: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.924, disgust: 0.057, joy: 0.007, fear: 0.005, sadness: 0.004, anger: 0.002, surprise: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.972, joy: 0.019, disgust: 0.002, surprise: 0.002, fear: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.979, joy: 0.008, disgust: 0.004, fear: 0.003, sadness: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.818, joy: 0.154, sadness: 0.018, fear: 0.004, surprise: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.892, sadness: 0.052, joy: 0.025, fear: 0.018, surprise: 0.007, disgust: 0.005, anger: 0.002})"
"AnalyzerOutput(output=joy, probas={joy: 0.966, others: 0.025, anger: 0.002, sadness: 0.002, surprise: 0.002, fear: 0.002, disgust: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.828, others: 0.162, surprise: 0.002, sadness: 0.002, fear: 0.002, anger: 0.002, disgust: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.972, disgust: 0.011, joy: 0.008, fear: 0.003, sadness: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.979, joy: 0.008, disgust: 0.005, surprise: 0.003, sadness: 0.003, fear: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.711, sadness: 0.235, disgust: 0.020, fear: 0.012, joy: 0.011, surprise: 0.006, anger: 0.004})"
"AnalyzerOutput(output=others, probas={others: 0.971, joy: 0.012, disgust: 0.005, sadness: 0.004, fear: 0.004, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.953, fear: 0.020, joy: 0.012, sadness: 0.007, disgust: 0.004, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.957, joy: 0.024, sadness: 0.008, fear: 0.004, disgust: 0.003, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.935, joy: 0.042, sadness: 0.013, fear: 0.004, surprise: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.960, joy: 0.020, sadness: 0.009, fear: 0.005, disgust: 0.003, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.943, joy: 0.041, sadness: 0.007, surprise: 0.004, disgust: 0.002, fear: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.730, fear: 0.070, sadness: 0.056, joy: 0.055, surprise: 0.032, disgust: 0.030, anger: 0.026})"
"AnalyzerOutput(output=others, probas={others: 0.750, joy: 0.238, surprise: 0.004, sadness: 0.002, fear: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.972, joy: 0.016, fear: 0.005, disgust: 0.003, sadness: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.972, joy: 0.013, sadness: 0.006, surprise: 0.003, disgust: 0.003, fear: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.972, disgust: 0.015, joy: 0.005, anger: 0.003, fear: 0.002, surprise: 0.002, sadness: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.927, joy: 0.058, sadness: 0.007, surprise: 0.003, fear: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.957, joy: 0.019, sadness: 0.009, fear: 0.006, surprise: 0.005, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.966, joy: 0.013, sadness: 0.009, fear: 0.005, disgust: 0.003, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.960, joy: 0.023, sadness: 0.008, disgust: 0.004, fear: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.925, joy: 0.038, sadness: 0.024, disgust: 0.004, fear: 0.004, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.936, joy: 0.050, sadness: 0.005, disgust: 0.003, surprise: 0.003, fear: 0.003, anger: 0.001})"
"AnalyzerOutput(output=sadness, probas={sadness: 0.973, others: 0.016, joy: 0.004, disgust: 0.003, fear: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.810, joy: 0.130, sadness: 0.036, fear: 0.012, surprise: 0.009, disgust: 0.001, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.915, joy: 0.073, sadness: 0.003, surprise: 0.003, fear: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.970, joy: 0.018, disgust: 0.003, sadness: 0.003, fear: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.703, joy: 0.284, surprise: 0.005, fear: 0.004, sadness: 0.002, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.969, joy: 0.012, fear: 0.006, sadness: 0.005, disgust: 0.004, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.902, sadness: 0.056, joy: 0.023, fear: 0.009, disgust: 0.006, surprise: 0.004, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.962, joy: 0.026, sadness: 0.003, fear: 0.003, surprise: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.955, joy: 0.028, surprise: 0.005, sadness: 0.005, fear: 0.004, disgust: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.964, joy: 0.023, sadness: 0.004, fear: 0.003, disgust: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=fear, probas={fear: 0.866, others: 0.105, sadness: 0.011, joy: 0.009, surprise: 0.004, disgust: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.957, joy: 0.017, sadness: 0.009, surprise: 0.009, fear: 0.005, disgust: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.971, joy: 0.009, sadness: 0.006, fear: 0.005, disgust: 0.005, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.976, joy: 0.012, sadness: 0.004, disgust: 0.003, fear: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.959, joy: 0.020, fear: 0.010, sadness: 0.005, disgust: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.907, sadness: 0.042, joy: 0.035, surprise: 0.007, disgust: 0.004, fear: 0.004, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.973, joy: 0.013, sadness: 0.004, disgust: 0.003, fear: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.501, joy: 0.481, sadness: 0.008, fear: 0.003, surprise: 0.003, disgust: 0.002, anger: 0.001})"
"AnalyzerOutput(output=sadness, probas={sadness: 0.952, others: 0.028, fear: 0.008, disgust: 0.005, joy: 0.003, surprise: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.971, joy: 0.015, sadness: 0.005, fear: 0.004, disgust: 0.003, surprise: 0.003, anger: 0.001})"
"AnalyzerOutput(output=sadness, probas={sadness: 0.876, others: 0.095, joy: 0.013, fear: 0.007, disgust: 0.005, surprise: 0.003, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.610, joy: 0.375, surprise: 0.005, sadness: 0.005, disgust: 0.002, fear: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.979, joy: 0.008, disgust: 0.004, surprise: 0.003, fear: 0.002, sadness: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.730, fear: 0.070, sadness: 0.056, joy: 0.055, surprise: 0.032, disgust: 0.030, anger: 0.026})"
"AnalyzerOutput(output=joy, probas={joy: 0.978, others: 0.012, anger: 0.002, sadness: 0.002, surprise: 0.002, fear: 0.002, disgust: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.977, joy: 0.011, disgust: 0.003, sadness: 0.003, fear: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.976, joy: 0.011, surprise: 0.004, disgust: 0.003, fear: 0.002, sadness: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.670, joy: 0.317, surprise: 0.004, sadness: 0.003, disgust: 0.002, anger: 0.002, fear: 0.002})"
"AnalyzerOutput(output=joy, probas={joy: 0.948, others: 0.044, surprise: 0.003, anger: 0.002, sadness: 0.001, disgust: 0.001, fear: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.863, fear: 0.101, joy: 0.014, sadness: 0.011, disgust: 0.007, surprise: 0.004, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.972, joy: 0.008, sadness: 0.008, disgust: 0.005, fear: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.929, joy: 0.032, sadness: 0.021, surprise: 0.012, fear: 0.003, disgust: 0.003, anger: 0.001})"
